query_number,query_id,query_family,query,product_groups,signal_mode,reason,date_start,date_end,collection_count,hard_exclusion,breadth
1,phrase_adulterated_ghee,phrase,"(""adulterated ghee"" AND language:en)",human_approved_phrase,exact_phrase,Direct phrase query from human-approved ghee keywords.,2021-01-01,2026-06-30,28,,combined_phrase_boolean_title_proximity
2,phrase_fake_ghee,phrase,"(""fake ghee"" AND language:en)",human_approved_phrase,exact_phrase,Direct phrase query from human-approved ghee keywords.,2021-01-01,2026-06-30,28,,combined_phrase_boolean_title_proximity
3,phrase_fake_cow_ghee,phrase,"(""fake cow ghee"" AND language:en)",human_approved_phrase,exact_phrase,Direct phrase query from human-approved ghee keywords.,2021-01-01,2026-06-30,28,,combined_phrase_boolean_title_proximity
4,phrase_suspected_adulterated_ghee,phrase,"(""suspected adulterated ghee"" AND language:en)",human_approved_phrase,exact_phrase,Direct phrase query retained after human review.,2021-01-01,2026-06-30,28,,combined_phrase_boolean_title_proximity
5,phrase_ghee_racket,phrase,"(""ghee racket"" AND language:en)",human_approved_phrase,exact_phrase,Direct phrase query retained after human review.,2021-01-01,2026-06-30,28,,combined_phrase_boolean_title_proximity
6,phrase_ghee_racket_busted,phrase,"(""ghee racket busted"" AND language:en)",human_approved_phrase,exact_phrase,Direct phrase query retained after human review.,2021-01-01,2026-06-30,28,,combined_phrase_boolean_title_proximity
7,phrase_vegetable_ghee,phrase,"(""vegetable ghee"" AND language:en)",human_approved_phrase,exact_phrase,Adulterant/context phrase retained after human review.,2021-01-01,2026-06-30,28,,combined_phrase_boolean_title_proximity
8,boolean_ghee_products_adulterated_fake,boolean,"((ghee OR ""cow ghee"" OR ""desi ghee"" OR ""pure ghee"" OR ""loose ghee"") AND (adulterated OR fake) AND language:en)",ghee_core_products,adulterated_fake_only,Ghee product terms co-occur with approved adulterated/fake terms.,2021-01-01,2026-06-30,28,,combined_phrase_boolean_title_proximity
9,boolean_ghee_incident_phrases,boolean,"((""fake ghee"" OR ""fake cow ghee"" OR ""adulterated ghee"" OR ""suspected adulterated ghee"" OR ""ghee racket"" OR ""ghee racket busted"") AND language:en)",ghee_incident_phrases,phrase_only,Human-approved ghee incident phrases are already precise enough for discovery.,2021-01-01,2026-06-30,28,,combined_phrase_boolean_title_proximity
10,boolean_ghee_products_enforcement,boolean,"((ghee OR ""cow ghee"" OR ""desi ghee"" OR ""pure ghee"" OR ""loose ghee"") AND ((fssai OR fda OR ""food safety"") OR (raid OR seized)) AND language:en)",ghee_core_products,enforcement_only,Ghee terms plus enforcement/evidence language for raid/seizure/lab-test stories.,2021-01-01,2026-06-30,28,,combined_phrase_boolean_title_proximity
11,boolean_ghee_products_adulterated_fake_enforcement,boolean,"((ghee OR ""cow ghee"" OR ""desi ghee"" OR ""pure ghee"" OR ""loose ghee"") AND (adulterated OR fake) AND ((fssai OR fda OR ""food safety"") OR (raid OR seized)) AND language:en)",ghee_core_products,adulterated_fake_and_enforcement,Ghee terms plus approved adulterated/fake and enforcement terms.,2021-01-01,2026-06-30,28,,combined_phrase_boolean_title_proximity
12,boolean_ghee_adulterants_context,boolean,"((ghee OR ""cow ghee"" OR ""desi ghee"" OR ""pure ghee"" OR ""loose ghee"") AND (vanaspati OR ""vegetable ghee"") AND ((adulterated OR fake) OR (fssai OR fda OR ""food safety"") OR (raid OR seized)) AND language:en)",ghee_core_products,adulterant_context,Human-approved adulterant/context terms only when ghee is also present.,2021-01-01,2026-06-30,28,,combined_phrase_boolean_title_proximity
13,title_ghee_products_adulterated_fake,title_only,"((article_title:ghee OR article_title:""cow ghee"" OR article_title:""desi ghee"" OR article_title:""pure ghee"" OR article_title:""loose ghee"") AND (article_title:adulterated OR article_title:fake) AND language:en)",ghee_core_products,adulterated_fake_terms,Ghee product term and approved adulterated/fake term both appear in the title.,2021-01-01,2026-06-30,28,,combined_phrase_boolean_title_proximity
14,title_ghee_incident_phrases,title_only,"((article_title:""fake ghee"" OR article_title:""fake cow ghee"" OR article_title:""adulterated ghee"" OR article_title:""suspected adulterated ghee"" OR article_title:""ghee racket"" OR article_title:""ghee racket busted"") AND language:en)",ghee_incident_phrases,exact_title_phrase,Human-approved ghee incident phrase appears in the title.,2021-01-01,2026-06-30,28,,combined_phrase_boolean_title_proximity
15,title_ghee_enforcement,title_only,"((article_title:ghee OR article_title:""cow ghee"" OR article_title:""desi ghee"" OR article_title:""pure ghee"" OR article_title:""loose ghee"") AND (article_title:fssai OR article_title:fda OR article_title:""food safety"" OR article_title:raid OR article_title:seized) AND language:en)",ghee_core_products,enforcement_org_terms; enforcement_action_terms,Ghee product term and enforcement/evidence term both appear in the title.,2021-01-01,2026-06-30,28,,combined_phrase_boolean_title_proximity
16,proximity_ghee_adulterated,proximity,"(""ghee adulterated""~10 AND language:en)",phrase_proximity,within_10_words,"Find stories where ""ghee adulterated"" terms appear within 10 words.",2021-01-01,2026-06-30,28,,combined_phrase_boolean_title_proximity
17,proximity_ghee_fake,proximity,"(""ghee fake""~8 AND language:en)",phrase_proximity,within_8_words,"Find stories where ""ghee fake"" terms appear within 8 words.",2021-01-01,2026-06-30,28,,combined_phrase_boolean_title_proximity
18,proximity_ghee_seized,proximity,"(""ghee seized""~10 AND language:en)",phrase_proximity,within_10_words,"Find stories where ""ghee seized"" terms appear within 10 words.",2021-01-01,2026-06-30,28,,combined_phrase_boolean_title_proximity
19,proximity_ghee_raid,proximity,"(""ghee raid""~10 AND language:en)",phrase_proximity,within_10_words,"Find stories where ""ghee raid"" terms appear within 10 words.",2021-01-01,2026-06-30,28,,combined_phrase_boolean_title_proximity
20,proximity_ghee_food_safety,proximity,"(""ghee food safety""~10 AND language:en)",phrase_proximity,within_10_words,"Find stories where ""ghee food safety"" terms appear within 10 words.",2021-01-01,2026-06-30,28,,combined_phrase_boolean_title_proximity
21,proximity_ghee_fssai,proximity,"(""ghee fssai""~10 AND language:en)",phrase_proximity,within_10_words,"Find stories where ""ghee fssai"" terms appear within 10 words.",2021-01-01,2026-06-30,28,,combined_phrase_boolean_title_proximity
22,proximity_ghee_fda,proximity,"(""ghee fda""~10 AND language:en)",phrase_proximity,within_10_words,"Find stories where ""ghee fda"" terms appear within 10 words.",2021-01-01,2026-06-30,28,,combined_phrase_boolean_title_proximity
23,proximity_cow_ghee_fake,proximity,"(""cow ghee fake""~8 AND language:en)",phrase_proximity,within_8_words,"Find stories where ""cow ghee fake"" terms appear within 8 words.",2021-01-01,2026-06-30,28,,combined_phrase_boolean_title_proximity
24,proximity_cow_ghee_adulterated,proximity,"(""cow ghee adulterated""~10 AND language:en)",phrase_proximity,within_10_words,"Find stories where ""cow ghee adulterated"" terms appear within 10 words.",2021-01-01,2026-06-30,28,,combined_phrase_boolean_title_proximity
25,proximity_desi_ghee_adulterated,proximity,"(""desi ghee adulterated""~10 AND language:en)",phrase_proximity,within_10_words,"Find stories where ""desi ghee adulterated"" terms appear within 10 words.",2021-01-01,2026-06-30,28,,combined_phrase_boolean_title_proximity
26,proximity_loose_ghee_seized,proximity,"(""loose ghee seized""~10 AND language:en)",phrase_proximity,within_10_words,"Find stories where ""loose ghee seized"" terms appear within 10 words.",2021-01-01,2026-06-30,28,,combined_phrase_boolean_title_proximity
27,proximity_ghee_vanaspati,proximity,"(""ghee vanaspati""~10 AND language:en)",phrase_proximity,within_10_words,"Find stories where ""ghee vanaspati"" terms appear within 10 words.",2021-01-01,2026-06-30,28,,combined_phrase_boolean_title_proximity
28,proximity_ghee_vegetable_ghee,proximity,"(""ghee vegetable ghee""~10 AND language:en)",phrase_proximity,within_10_words,"Find stories where ""ghee vegetable ghee"" terms appear within 10 words.",2021-01-01,2026-06-30,28,,combined_phrase_boolean_title_proximity
29,proximity_suspected_adulterated_ghee,proximity,"(""suspected adulterated ghee""~10 AND language:en)",phrase_proximity,within_10_words,"Find stories where ""suspected adulterated ghee"" terms appear within 10 words.",2021-01-01,2026-06-30,28,,combined_phrase_boolean_title_proximity
30,proximity_ghee_racket,proximity,"(""ghee racket""~10 AND language:en)",phrase_proximity,within_10_words,"Find stories where ""ghee racket"" terms appear within 10 words.",2021-01-01,2026-06-30,28,,combined_phrase_boolean_title_proximity
31,proximity_ghee_racket_busted,proximity,"(""ghee racket busted""~10 AND language:en)",phrase_proximity,within_10_words,"Find stories where ""ghee racket busted"" terms appear within 10 words.",2021-01-01,2026-06-30,28,,combined_phrase_boolean_title_proximity
