query,template_type,product_term,fraud_term,enforcement_term,geography_term,date_start,date_end,source_terms,manual_reason,breadth,status,permutation_scope
"""edible oil"" adulteration India",product_plus_fraud,edible oil,adulteration,,India,2021-01-01,2026-06-21,edible oil; adulteration; India,Core product plus core fraud signal.,medium,proposed_review,selected_subset_not_all_permutations
"""edible oil"" adulterated India",product_plus_fraud,edible oil,adulterated,,India,2021-01-01,2026-06-21,edible oil; adulterated; India,Captures headline/body variants using adjective form.,medium,proposed_review,selected_subset_not_all_permutations
"""edible oil"" seized India",product_plus_enforcement,edible oil,,seized,India,2021-01-01,2026-06-21,edible oil; seized; India,High-precision enforcement query from sample pattern.,medium,proposed_review,selected_subset_not_all_permutations
"""substandard edible oil"" India",fraud_phrase_plus_product,edible oil,substandard,,India,2021-01-01,2026-06-21,edible oil; substandard; India,Directly matches substandard-oil sample language.,narrow,proposed_review,selected_subset_not_all_permutations
"""fake edible oil"" India",fraud_phrase_plus_product,edible oil,fake,,India,2021-01-01,2026-06-21,edible oil; fake; India,Fraud synonym added for recall.,narrow,proposed_review,selected_subset_not_all_permutations
"FSSAI ""edible oil"" India",authority_plus_product,edible oil,,fssai,India,2021-01-01,2026-06-21,edible oil; fssai; India,Authority plus product term.,medium,proposed_review,selected_subset_not_all_permutations
"FSDA ""edible oil"" seized",authority_plus_product_plus_enforcement,edible oil,,fsda; seized,India,2021-01-01,2026-06-21,fsda; edible oil; seized,State enforcement acronym plus product/action.,narrow,proposed_review,selected_subset_not_all_permutations
"""food safety department"" ""edible oil"" India",agency_phrase_plus_product,edible oil,,food safety department,India,2021-01-01,2026-06-21,edible oil; food safety department; India,Department phrase combined with product to avoid broad drift.,medium,proposed_review,selected_subset_not_all_permutations
"""food safety officer"" ""edible oil"" India",agency_phrase_plus_product,edible oil,,food safety officer,India,2021-01-01,2026-06-21,edible oil; food safety officer; India,Officer phrase added back as complete enforcement term.,medium,proposed_review,selected_subset_not_all_permutations
"""edible oil"" raid India",product_plus_enforcement,edible oil,,raid,India,2021-01-01,2026-06-21,edible oil; raid; India,Common enforcement event phrasing.,medium,proposed_review,selected_subset_not_all_permutations
"""edible oil"" seizure India",product_plus_enforcement,edible oil,,seizure,India,2021-01-01,2026-06-21,edible oil; seizure; India,Noun variant of seized.,medium,proposed_review,selected_subset_not_all_permutations
"""cooking oil"" adulteration India",product_plus_fraud,cooking oil,adulteration,,India,2021-01-01,2026-06-21,cooking oil; adulteration; India,Public-facing synonym for edible oil.,medium,proposed_review,selected_subset_not_all_permutations
"""adulterated cooking oil"" seized India",product_plus_fraud_plus_enforcement,cooking oil,adulterated,seized,India,2021-01-01,2026-06-21,cooking oil; adulterated; seized; India,Specific incident-style query.,narrow,proposed_review,selected_subset_not_all_permutations
"""mustard oil"" adulteration India",product_plus_fraud,mustard oil,adulteration,,India,2021-01-01,2026-06-21,mustard oil; adulteration; India,Specific oil type from sample.,medium,proposed_review,selected_subset_not_all_permutations
"""fake mustard oil"" India",fraud_phrase_plus_product,mustard oil,fake,,India,2021-01-01,2026-06-21,mustard oil; fake; India,High-value fraud phrase for mustard oil.,narrow,proposed_review,selected_subset_not_all_permutations
"""mustard oil"" seized India",product_plus_enforcement,mustard oil,,seized,India,2021-01-01,2026-06-21,mustard oil; seized; India,Specific oil plus enforcement action.,medium,proposed_review,selected_subset_not_all_permutations
"""coconut oil"" adulteration India",product_plus_fraud,coconut oil,adulteration,,India,2021-01-01,2026-06-21,coconut oil; adulteration; India,Specific oil type from sample.,medium,proposed_review,selected_subset_not_all_permutations
"""substandard coconut oil"" India",fraud_phrase_plus_product,coconut oil,substandard,,India,2021-01-01,2026-06-21,coconut oil; substandard; India,Directly captures ban/substandard style stories.,narrow,proposed_review,selected_subset_not_all_permutations
"""coconut oil"" banned India",product_plus_enforcement,coconut oil,,banned,India,2021-01-01,2026-06-21,coconut oil; banned; India,Specific enforcement outcome from sample.,narrow,proposed_review,selected_subset_not_all_permutations
"""soybean oil"" adulteration India",product_plus_fraud,soybean oil,adulteration,,India,2021-01-01,2026-06-21,soybean oil; adulteration; India,Specific oil type from sample.,medium,proposed_review,selected_subset_not_all_permutations
"""vegetable oil"" adulteration India",product_plus_fraud,vegetable oil,adulteration,,India,2021-01-01,2026-06-21,vegetable oil; adulteration; India,Specific product phrase from sample.,medium,proposed_review,selected_subset_not_all_permutations
"""groundnut oil"" adulteration India",product_plus_fraud,groundnut oil,adulteration,,India,2021-01-01,2026-06-21,groundnut oil; adulteration; India,Specific oil type from sample.,medium,proposed_review,selected_subset_not_all_permutations
"""palm oil"" adulteration India",product_plus_fraud,palm oil,adulteration,,India,2021-01-01,2026-06-21,palm oil; adulteration; India,Specific oil type from sample.,medium,proposed_review,selected_subset_not_all_permutations
"""olive oil"" adulteration India",product_plus_fraud,olive oil,adulteration,,India,2021-01-01,2026-06-21,olive oil; adulteration; India,User explicitly kept olive oil.,medium,proposed_review,selected_subset_not_all_permutations
"""adulterated oil"" seized India",support_product_plus_fraud_plus_enforcement,oil,adulterated,seized,India,2021-01-01,2026-06-21,oil; adulterated; seized; India,Broad but high-precision incident phrase.,medium,proposed_review,selected_subset_not_all_permutations
"""food adulteration"" ""edible oil"" India",broad_fraud_plus_product_anchor,edible oil,food adulteration,,India,2021-01-01,2026-06-21,edible oil; food adulteration; India,Uses broad food-adulteration term only with oil anchor.,medium,proposed_review,selected_subset_not_all_permutations
"""oil"" ""food safety"" ""seized"" India",support_product_plus_enforcement,oil,,food safety; seized,India,2021-01-01,2026-06-21,oil; food safety; seized,Support term oil anchored by enforcement and India.,broad,proposed_review,selected_subset_not_all_permutations
"""ghee and oil"" adulteration India",mixed_oil_ghee_plus_fraud,ghee and oil,adulteration,,India,2021-01-01,2026-06-21,ghee and oil; adulteration; India,Mixed oil+ghee sample pattern without pure ghee-only drift.,medium,proposed_review,selected_subset_not_all_permutations
"""adulterated ghee and oil"" seized India",mixed_oil_ghee_plus_enforcement,adulterated ghee and oil,,seized,India,2021-01-01,2026-06-21,adulterated ghee and oil; seized; India,Specific mixed incident phrase from sample.,narrow,proposed_review,selected_subset_not_all_permutations
