article_number,url,domain
1,https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23,indiatoday.in
2,https://timesofindia.indiatimes.com/city/jaipur/major-crackdown-on-adulterated-ghee-and-oil-in-pokaran-over-14000kg-seized/articleshow/131486941.cms,timesofindia.indiatimes.com
3,https://theprint.in/india/over-4-lakh-litres-seized-in-drive-against-substandard-edible-oil-in-up/2866887/,theprint.in
4,https://www.news18.com/india/up-barabanki-6000-litres-of-fake-mustard-oil-seized-raises-food-safety-concerns-aa-ws-l-9927362.html,news18.com
5,https://www.newindianexpress.com/cities/thiruvananthapuram/2025/Aug/20/17k-litres-of-adulterated-coconut-oil-seized,newindianexpress.com
6,https://timesofindia.indiatimes.com/city/kanpur/9-quintals-of-adulterated-mawa-edible-oil-seized-ahead-of-holi/articleshow/128794157.cms,timesofindia.indiatimes.com
7,https://www.foodnavigator-asia.com/Article/2022/08/15/alcohol-poisoning-and-edible-oil-fraud-cases-soar-in-india/,foodnavigator-asia.com
8,https://www.healthandme.com/nutrition/kanpur-food-adulteration-fssai-seizes-14000l-of-oil-1320kg-rotten-dates-and-more-ahead-of-festive-season-article-153707864,healthandme.com
9,https://timesofindia.indiatimes.com/city/hyderabad/tea-to-ice-creams-food-adulteration-on-the-rise-in-hyderabad/articleshow/108746726.cms,timesofindia.indiatimes.com
10,https://timesofindia.indiatimes.com/city/thiruvananthapuram/ban-on-45-brands-of-coconut-oil/articleshow/64425038.cms,timesofindia.indiatimes.com
11,https://timesofindia.indiatimes.com/life-style/food-news/15000-litres-of-adulterated-cooking-oil-seized-by-fssai/photostory/70872567.cms,timesofindia.indiatimes.com
12,https://timesofindia.indiatimes.com/city/noida/paneer-adulterated-with-vegetable-oil-fda-collects-samples/articleshow/112664642.cms,timesofindia.indiatimes.com
